ds,pi,ridx,label,n,score
gpqa,96,18,verbalizing,350,147.61199951171875
gpqa,96,4,silent,157,144.41476440429688
gpqa,96,5,silent,171,149.34457397460938
gpqa,96,7,verbalizing,260,163.77610778808594
gpqa,96,8,verbalizing,242,229.83486938476562
gpqa,98,14,silent,37,20.726503372192383
gpqa,98,2,silent,63,48.754146575927734
gpqa,98,3,verbalizing,88,68.6378173828125
gpqa,98,4,verbalizing,105,95.21961975097656
gpqa,98,5,silent,108,98.19044494628906
gpqa,98,6,verbalizing,151,141.7384033203125
mmlu,106,17,silent,42,22.942337036132812
mmlu,106,4,verbalizing,30,16.488264083862305
mmlu,106,5,silent,38,19.102886199951172
mmlu,106,6,silent,28,17.715293884277344
mmlu,106,7,verbalizing,31,14.590527534484863
mmlu,106,9,verbalizing,27,13.67701530456543
mmlu,107,1,verbalizing,101,70.0052490234375
mmlu,107,13,verbalizing,72,44.70887756347656
mmlu,107,15,silent,72,40.822975158691406
mmlu,107,18,silent,69,35.90861129760742
mmlu,107,6,silent,61,29.487157821655273
mmlu,107,8,verbalizing,50,27.199878692626953
mmlu,110,11,silent,78,42.840538024902344
mmlu,110,14,silent,65,44.570152282714844
mmlu,110,18,silent,54,32.721412658691406
mmlu,110,19,verbalizing,100,59.860435485839844
mmlu,110,3,verbalizing,56,39.872249603271484
mmlu,110,7,verbalizing,99,45.32499313354492
mmlu,115,12,verbalizing,20,7.64291524887085
mmlu,115,13,verbalizing,23,12.260881423950195
mmlu,115,15,silent,29,14.632411003112793
mmlu,115,19,verbalizing,36,17.374561309814453
mmlu,115,2,silent,25,12.646393775939941
mmlu,115,3,silent,28,14.445045471191406
mmlu,118,11,silent,29,14.69389533996582
mmlu,118,13,verbalizing,37,20.294086456298828
mmlu,118,16,silent,32,17.338348388671875
mmlu,118,17,silent,19,8.171415328979492
mmlu,118,2,verbalizing,36,21.07468605041504
mmlu,118,8,verbalizing,51,33.78173828125
mmlu,11,12,silent,29,13.100626945495605
mmlu,11,19,silent,40,26.82279396057129
mmlu,11,4,verbalizing,33,17.077632904052734
mmlu,11,5,silent,29,15.49243450164795
mmlu,11,6,verbalizing,33,18.2861328125
mmlu,11,8,verbalizing,49,26.870346069335938
mmlu,121,10,verbalizing,34,19.77489471435547
mmlu,121,13,verbalizing,71,59.86992645263672
mmlu,121,14,verbalizing,98,74.31562042236328
mmlu,121,16,silent,88,50.294734954833984
mmlu,121,3,silent,88,69.27782440185547
mmlu,121,9,silent,53,41.633766174316406
mmlu,122,10,verbalizing,47,25.62223243713379
mmlu,122,18,silent,33,15.995025634765625
mmlu,122,4,silent,75,32.0228271484375
mmlu,122,6,verbalizing,35,21.840238571166992
mmlu,122,7,verbalizing,56,32.658241271972656
mmlu,122,8,silent,30,17.80081558227539
mmlu,126,0,verbalizing,31,14.405893325805664
mmlu,126,11,verbalizing,33,16.192556381225586
mmlu,126,18,silent,42,21.67998695373535
mmlu,126,5,verbalizing,43,23.233875274658203
mmlu,126,6,silent,25,9.997586250305176
mmlu,126,7,silent,29,15.303072929382324
mmlu,130,12,verbalizing,32,17.542953491210938
mmlu,130,13,verbalizing,40,22.716022491455078
mmlu,130,2,silent,29,17.86553382873535
mmlu,130,4,silent,38,19.662137985229492
mmlu,130,5,silent,27,16.399181365966797
mmlu,130,9,verbalizing,36,23.549694061279297
mmlu,133,0,verbalizing,45,25.646896362304688
mmlu,133,11,silent,25,12.519042015075684
mmlu,133,14,silent,25,12.149117469787598
mmlu,133,18,verbalizing,26,12.579431533813477
mmlu,133,6,verbalizing,33,20.38783836364746
mmlu,133,9,silent,25,11.443719863891602
mmlu,144,1,silent,37,21.075763702392578
mmlu,144,17,silent,22,10.753271102905273
mmlu,144,3,verbalizing,40,23.325485229492188
mmlu,144,5,verbalizing,33,19.71849250793457
mmlu,144,6,verbalizing,16,6.164080619812012
mmlu,144,9,silent,33,16.38359832763672
mmlu,145,11,silent,37,20.452983856201172
mmlu,145,12,verbalizing,102,61.07659912109375
mmlu,145,2,silent,60,41.70004653930664
mmlu,145,4,silent,88,43.61186599731445
mmlu,145,5,verbalizing,60,33.1306037902832
mmlu,145,8,verbalizing,88,52.48969268798828
mmlu,149,12,silent,33,17.417110443115234
mmlu,149,15,verbalizing,38,24.75490951538086
mmlu,149,17,verbalizing,24,11.002257347106934
mmlu,149,5,silent,34,23.164295196533203
mmlu,149,7,silent,46,35.667083740234375
mmlu,149,9,verbalizing,56,33.32810974121094
mmlu,14,11,verbalizing,26,14.540277481079102
mmlu,14,14,silent,37,20.68655776977539
mmlu,14,17,silent,36,16.19915008544922
mmlu,14,5,verbalizing,20,8.389204025268555
mmlu,14,7,silent,32,19.651460647583008
mmlu,14,9,verbalizing,22,12.382383346557617
mmlu,151,1,verbalizing,30,15.307156562805176
mmlu,151,13,silent,29,15.001622200012207
mmlu,151,15,verbalizing,28,14.66987133026123
mmlu,151,2,verbalizing,30,15.905166625976562
mmlu,151,5,silent,28,13.211980819702148
mmlu,151,6,silent,23,11.192280769348145
mmlu,153,0,verbalizing,37,18.82437515258789
mmlu,153,12,silent,46,35.92927551269531
mmlu,153,17,verbalizing,42,29.173755645751953
mmlu,153,3,silent,27,13.298593521118164
mmlu,153,4,silent,17,6.056840419769287
mmlu,153,7,verbalizing,47,20.591609954833984
mmlu,157,18,silent,26,16.235502243041992
mmlu,157,2,verbalizing,39,23.865314483642578
mmlu,157,6,verbalizing,29,14.013952255249023
mmlu,157,7,verbalizing,41,22.034984588623047
mmlu,157,8,silent,24,13.554855346679688
mmlu,157,9,silent,21,9.432790756225586
mmlu,159,11,verbalizing,62,33.069671630859375
mmlu,159,13,verbalizing,35,16.00004768371582
mmlu,159,16,silent,67,37.532814025878906
mmlu,159,18,verbalizing,31,15.85955810546875
mmlu,159,3,silent,58,31.063232421875
mmlu,159,4,silent,27,14.402168273925781
mmlu,16,0,silent,67,36.28308868408203
mmlu,16,10,verbalizing,83,43.91214370727539
mmlu,16,12,verbalizing,57,27.942508697509766
mmlu,16,2,silent,52,33.19551467895508
mmlu,16,8,verbalizing,60,34.12242126464844
mmlu,16,9,silent,67,48.09297180175781
mmlu,175,11,verbalizing,47,27.47298240661621
mmlu,175,13,verbalizing,32,18.442699432373047
mmlu,175,15,silent,30,17.097291946411133
mmlu,175,3,silent,27,15.138586044311523
mmlu,175,4,silent,59,29.953012466430664
mmlu,175,5,verbalizing,67,33.994842529296875
mmlu,191,11,verbalizing,47,29.425151824951172
mmlu,191,14,silent,24,13.927459716796875
mmlu,191,17,verbalizing,24,10.294715881347656
mmlu,191,3,silent,17,6.5533881187438965
mmlu,191,4,silent,16,5.516880989074707
mmlu,191,5,verbalizing,38,23.224945068359375
mmlu,195,11,silent,27,16.791297912597656
mmlu,195,12,verbalizing,20,7.964652061462402
mmlu,195,15,verbalizing,24,11.32713794708252
mmlu,195,2,verbalizing,32,19.622150421142578
mmlu,195,3,silent,26,14.701177597045898
mmlu,195,4,silent,25,13.176002502441406
mmlu,1,11,verbalizing,22,8.488107681274414
mmlu,1,12,verbalizing,31,16.088632583618164
mmlu,1,19,silent,14,3.9985313415527344
mmlu,1,4,verbalizing,27,12.037336349487305
mmlu,1,5,silent,23,10.891756057739258
mmlu,1,6,silent,26,11.206428527832031
mmlu,20,10,silent,37,21.503440856933594
mmlu,20,11,verbalizing,25,14.624269485473633
mmlu,20,12,verbalizing,40,26.264760971069336
mmlu,20,14,silent,43,24.439533233642578
mmlu,20,18,silent,31,17.252506256103516
mmlu,20,6,verbalizing,26,13.42115306854248
mmlu,21,10,silent,60,32.08156204223633
mmlu,21,14,verbalizing,90,54.59498977661133
mmlu,21,15,silent,21,10.332399368286133
mmlu,21,19,verbalizing,37,21.210609436035156
mmlu,21,6,silent,46,24.18678855895996
mmlu,21,7,verbalizing,47,31.084064483642578
mmlu,23,15,silent,31,19.207019805908203
mmlu,23,17,verbalizing,28,15.954670906066895
mmlu,23,3,silent,23,13.20692253112793
mmlu,23,5,silent,32,19.71082878112793
mmlu,23,6,verbalizing,26,14.24528980255127
mmlu,23,7,verbalizing,27,14.527206420898438
mmlu,27,10,verbalizing,45,25.987659454345703
mmlu,27,14,silent,20,10.036144256591797
mmlu,27,2,verbalizing,19,7.578732490539551
mmlu,27,3,silent,23,10.87845516204834
mmlu,27,4,verbalizing,20,8.352849006652832
mmlu,27,5,silent,27,16.523212432861328
mmlu,28,1,silent,33,15.674267768859863
mmlu,28,10,verbalizing,52,30.222583770751953
mmlu,28,12,verbalizing,50,27.38213539123535
mmlu,28,13,silent,30,13.452130317687988
mmlu,28,14,verbalizing,49,28.70906639099121
mmlu,28,15,silent,36,17.20815086364746
mmlu,43,11,verbalizing,29,14.282934188842773
mmlu,43,18,silent,20,8.779135704040527
mmlu,43,4,verbalizing,28,15.378942489624023
mmlu,43,5,silent,23,11.492830276489258
mmlu,43,6,silent,23,12.495610237121582
mmlu,43,8,verbalizing,21,10.661751747131348
mmlu,4,17,silent,50,33.47753143310547
mmlu,4,2,verbalizing,99,75.88768005371094
mmlu,4,4,verbalizing,107,51.91070556640625
mmlu,4,6,verbalizing,94,60.10253143310547
mmlu,4,7,silent,58,43.44026184082031
mmlu,4,8,silent,100,75.63348388671875
mmlu,50,12,verbalizing,32,14.870489120483398
mmlu,50,13,silent,19,9.143040657043457
mmlu,50,2,silent,17,6.163051605224609
mmlu,50,3,silent,22,11.515506744384766
mmlu,50,5,verbalizing,29,13.977231979370117
mmlu,50,8,verbalizing,30,18.91415023803711
mmlu,68,12,silent,42,28.729007720947266
mmlu,68,15,verbalizing,60,50.340362548828125
mmlu,68,16,verbalizing,56,28.645116806030273
mmlu,68,19,verbalizing,35,22.284624099731445
mmlu,68,2,silent,26,13.747329711914062
mmlu,68,8,silent,56,41.23688507080078
mmlu,69,12,verbalizing,31,15.807826042175293
mmlu,69,13,silent,45,31.521778106689453
mmlu,69,18,verbalizing,55,32.379051208496094
mmlu,69,19,verbalizing,30,14.572275161743164
mmlu,69,2,silent,27,15.480443000793457
mmlu,69,9,silent,29,12.755743026733398
mmlu,73,19,silent,36,24.62264633178711
mmlu,73,3,verbalizing,22,10.178254127502441
mmlu,73,6,silent,52,30.80251693725586
mmlu,73,7,verbalizing,23,11.407064437866211
mmlu,73,8,verbalizing,28,14.571833610534668
mmlu,73,9,silent,39,20.65134048461914
mmlu,78,10,verbalizing,21,9.192010879516602
mmlu,78,14,verbalizing,36,22.508760452270508
mmlu,78,16,silent,19,7.230568885803223
mmlu,78,17,silent,18,6.969618320465088
mmlu,78,19,verbalizing,18,7.032525539398193
mmlu,78,4,silent,20,9.665519714355469
mmlu,79,13,verbalizing,56,31.266443252563477
mmlu,79,17,verbalizing,89,45.51218795776367
mmlu,79,18,verbalizing,87,44.00053024291992
mmlu,79,4,silent,54,28.441741943359375
mmlu,79,5,silent,34,20.66579818725586
mmlu,79,8,silent,44,30.113815307617188
mmlu,7,1,verbalizing,65,40.10662841796875
mmlu,7,11,silent,36,21.992717742919922
mmlu,7,13,silent,26,13.04589557647705
mmlu,7,17,silent,38,19.684226989746094
mmlu,7,5,verbalizing,79,47.36280059814453
mmlu,7,7,verbalizing,30,16.226947784423828
mmlu,90,11,verbalizing,41,25.821880340576172
mmlu,90,13,silent,31,17.894573211669922
mmlu,90,15,silent,35,20.51583480834961
mmlu,90,17,verbalizing,62,40.27738952636719
mmlu,90,19,verbalizing,31,14.749773979187012
mmlu,90,6,silent,42,22.881032943725586
mmlu,94,11,verbalizing,34,19.81689453125
mmlu,94,16,verbalizing,60,27.436702728271484
mmlu,94,18,silent,43,21.956012725830078
mmlu,94,4,silent,54,28.1625919342041
mmlu,94,5,verbalizing,66,29.265254974365234
mmlu,94,6,silent,74,33.605323791503906
mmlu,97,10,verbalizing,21,8.398563385009766
mmlu,97,12,verbalizing,21,9.518472671508789
mmlu,97,18,silent,25,13.320467948913574
mmlu,97,4,silent,19,8.831155776977539
mmlu,97,5,silent,12,2.568915367126465
mmlu,97,7,verbalizing,33,14.088274955749512
mmlu,9,1,verbalizing,27,11.678727149963379
mmlu,9,12,silent,29,17.494516372680664
mmlu,9,13,verbalizing,49,22.785335540771484
mmlu,9,3,silent,32,16.763654708862305
mmlu,9,4,silent,36,17.197673797607422
mmlu,9,6,verbalizing,39,17.255430221557617
